195
5
1.000000e-03
1.931016e-312
166
3000
9.617878e+00
3.314209e+00
9.617878e-06
1.815675e-06
0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 
1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 
0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 
140 47 107 134 164 
4.905459E-05 1.471839E-04 1.252969E-05 2.635319E-06 5.540638E-08 6.176735E-07 5.380708E-04 8.789607E-07 4.772609E-05 1.338012E-06 2.197851E-04 4.105671E-05 5.319646E-04 3.486877E-04 3.038608E-05 5.599645E-04 4.057499E-05 6.563533E-06 1.093938E-04 1.397603E-04 5.655249E-05 4.268706E-05 3.421048E-04 0.000000E+00 2.522858E-05 4.600979E-05 4.809015E-07 3.395902E-04 1.477679E-04 1.586081E-05 3.177513E-05 2.190528E-06 6.527741E-05 7.393709E-06 5.374706E-05 8.232739E-07 1.625425E-05 3.964354E-06 9.694812E-05 2.846491E-04 1.670867E-05 4.130639E-05 2.232836E-04 0.000000E+00 9.938166E-05 4.991756E-05 0.000000E+00 1.124384E-04 6.600490E-07 0.000000E+00 6.241475E-06 4.370180E-06 0.000000E+00 0.000000E+00 0.000000E+00 1.830125E-05 3.149203E-04 2.303489E-05 1.861085E-04 0.000000E+00 1.254500E-04 1.992276E-04 2.040606E-04 4.065350E-04 4.594845E-05 2.037210E-04 1.119785E-05 0.000000E+00 5.598212E-06 1.770373E-05 2.391404E-06 5.267325E-07 4.921748E-05 2.727596E-06 0.000000E+00 4.630506E-05 1.639357E-04 3.142489E-06 4.551720E-06 2.391953E-04 2.091599E-04 0.000000E+00 1.074704E-04 8.736250E-06 1.369667E-04 6.360662E-05 4.853524E-04 5.893396E-05 9.871372E-05 4.394799E-05 1.834194E-05 6.743735E-06 0.000000E+00 1.801759E-05 4.560324E-06 4.941188E-06 1.611199E-04 2.494700E-05 0.000000E+00 9.996709E-04 2.089025E-04 1.627775E-05 1.203204E-04 1.304961E-05 9.824163E-05 2.542513E-05 0.000000E+00 5.541269E-04 1.623137E-04 3.657238E-06 1.440114E-04 0.000000E+00 2.301730E-05 1.941216E-05 5.845851E-04 3.017305E-05 5.142499E-05 7.269242E-05 6.522581E-04 1.403045E-06 8.038622E-05 4.115420E-05 1.065664E-04 1.197262E-05 3.871403E-04 5.428485E-05 0.000000E+00 2.300571E-04 1.363044E-05 1.226789E-04 2.674048E-05 2.565756E-04 0.000000E+00 0.000000E+00 2.993044E-04 1.012507E-07 7.940965E-04 2.978035E-05 1.015723E-04 0.000000E+00 5.690807E-06 0.000000E+00 3.643655E-06 4.827267E-05 8.526307E-06 5.456427E-06 2.170266E-04 1.637152E-04 1.844738E-05 3.367575E-05 8.691602E-06 0.000000E+00 1.755717E-05 0.000000E+00 0.000000E+00 0.000000E+00 1.701898E-04 1.602470E-04 1.611751E-06 2.109053E-04 0.000000E+00 1.430745E-04 2.279879E-04 0.000000E+00 1.032990E-04 1.124328E-06 1.875745E-05 0.000000E+00 8.095777E-07 3.210475E-04 2.498978E-05 7.399444E-05 1.854985E-06 1.052828E-04 1.263324E-06 0.000000E+00 1.883960E-04 2.643177E-05 5.781079E-05 5.677484E-05 1.037432E-05 1.538707E-08 4.236735E-05 4.362944E-04 3.535558E-05 0.000000E+00 3.463083E-04 9.519181E-09 7.265155E-05 1.393004E-06 7.908620E-05 1.978779E-05 2.281453E-05 5.884948E-05 2.187906E-04 
3 4 17 20 21 30 35 41 57 63 66 74 76 86 92 97 103 116 120 136 139 140 141 146 153 159 162 174 175 181 182 183 191 89 14 28 81 43 62 170 108 
1 5 6 8 10 18 27 37 38 46 47 61 65 70 72 73 78 80 84 88 94 96 101 105 106 109 121 129 132 169 172 48 115 100 
19 34 36 45 52 69 107 110 114 117 131 138 150 166 167 171 173 178 180 190 15 130 179 123 195 128 147 
25 32 42 71 83 90 91 102 104 118 124 134 143 144 145 149 157 160 188 193 77 126 194 158 26 13 111 163 23 33 165 11 
2 7 9 12 22 31 39 40 49 51 56 58 59 67 79 85 95 98 113 122 125 148 151 164 177 184 185 187 189 192 135 16 87 119 137 29 64 

============Find Best @ Round 1987================
==========Cluster 0, RcvInterf=1.05944e-14============
Node 157, SINR:4.36038e-01, BpsHz:1.68418e-02
Node 25, SINR:4.36038e-01, BpsHz:1.68418e-02
Node 12, SINR:4.36038e-01, BpsHz:1.68418e-02
Node 110, SINR:4.36038e-01, BpsHz:1.68418e-02
Node 162, SINR:4.36038e-01, BpsHz:1.68418e-02
Node 22, SINR:4.36038e-01, BpsHz:1.68418e-02
Node 32, SINR:4.36038e-01, BpsHz:1.68418e-02
Node 164, SINR:4.36038e-01, BpsHz:1.68418e-02
Node 10, SINR:4.36038e-01, BpsHz:1.68418e-02
---------------
==========Cluster 4, RcvInterf=2.11791e-14============
Node 1, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 6, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 8, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 11, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 21, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 30, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 38, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 39, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 48, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 50, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 55, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 57, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 58, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 66, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 78, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 84, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 94, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 97, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 112, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 121, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 124, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 147, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 150, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 163, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 176, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 183, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 184, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 186, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 188, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 191, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 134, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 15, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 86, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 118, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 136, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 28, SINR:5.22353e-01, BpsHz:1.68418e-02
Node 63, SINR:5.22353e-01, BpsHz:1.68418e-02
---------------
