195
5
1.000000e-03
1.931016e-312
124
3000
5.268183e+00
1.196899e+00
5.268184e-06
8.300910e-07
0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 
0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 
164 159 178 169 188 
2.034117E-05 2.526235E-04 0.000000E+00 4.377059E-05 1.866358E-07 2.702863E-05 9.235339E-04 1.447392E-05 8.191611E-05 2.300681E-05 0.000000E+00 7.046892E-05 0.000000E+00 1.457801E-04 8.603322E-04 0.000000E+00 0.000000E+00 4.382713E-05 5.818842E-04 3.823730E-05 0.000000E+00 7.326721E-05 0.000000E+00 0.000000E+00 1.831468E-05 0.000000E+00 2.425064E-05 0.000000E+00 0.000000E+00 0.000000E+00 5.453819E-05 7.035647E-06 0.000000E+00 8.903928E-05 0.000000E+00 8.933478E-05 1.684217E-04 2.578062E-05 1.663998E-04 4.885659E-04 2.259264E-05 8.978075E-05 0.000000E+00 0.000000E+00 0.000000E+00 1.109586E-04 1.790978E-06 9.524675E-05 1.132895E-06 2.612700E-05 1.071274E-05 3.111080E-04 0.000000E+00 0.000000E+00 0.000000E+00 3.141190E-05 0.000000E+00 3.953663E-05 0.000000E+00 0.000000E+00 1.962162E-04 0.000000E+00 3.713951E-04 0.000000E+00 1.580785E-04 7.219565E-05 1.921977E-05 0.000000E+00 2.142602E-04 5.178446E-05 9.107079E-07 1.660165E-05 2.161349E-04 4.272492E-06 0.000000E+00 0.000000E+00 1.556532E-04 4.848097E-08 7.812481E-06 0.000000E+00 0.000000E+00 0.000000E+00 9.724073E-05 1.334990E-04 2.350868E-04 1.098149E-05 0.000000E+00 0.000000E+00 3.842989E-05 0.000000E+00 5.080907E-05 7.860502E-07 0.000000E+00 2.777477E-06 7.827249E-06 8.608142E-05 0.000000E+00 4.281853E-05 0.000000E+00 0.000000E+00 0.000000E+00 3.949713E-05 3.038422E-05 1.158467E-05 0.000000E+00 4.092009E-05 8.542779E-05 0.000000E+00 6.209765E-04 3.433478E-04 0.000000E+00 0.000000E+00 3.950643E-05 3.632768E-04 9.994038E-04 6.858745E-05 0.000000E+00 1.270990E-04 0.000000E+00 4.994852E-05 4.541892E-05 7.063624E-05 1.475823E-06 1.205514E-05 6.644799E-04 0.000000E+00 0.000000E+00 0.000000E+00 1.539939E-04 4.161233E-04 1.931262E-07 6.885665E-04 0.000000E+00 1.386181E-08 0.000000E+00 2.410640E-06 0.000000E+00 1.015891E-04 2.348071E-04 2.796149E-06 2.482803E-07 0.000000E+00 6.906525E-06 4.736663E-05 2.694604E-05 8.185816E-05 2.067020E-05 2.809975E-04 0.000000E+00 1.791577E-05 1.491809E-05 0.000000E+00 6.735828E-05 0.000000E+00 0.000000E+00 2.027602E-04 1.892071E-04 0.000000E+00 0.000000E+00 2.301311E-04 0.000000E+00 5.014423E-05 0.000000E+00 0.000000E+00 0.000000E+00 3.575582E-04 6.819758E-05 4.659629E-05 0.000000E+00 0.000000E+00 5.775103E-04 3.019628E-05 2.274173E-04 0.000000E+00 4.453168E-05 0.000000E+00 3.233591E-04 0.000000E+00 2.190130E-06 2.406765E-04 5.866622E-05 9.463716E-06 5.208774E-06 7.488469E-04 6.068361E-05 0.000000E+00 5.943967E-04 0.000000E+00 1.246977E-04 3.037633E-04 0.000000E+00 3.396337E-05 5.116134E-05 0.000000E+00 2.624306E-04 
7 9 12 22 31 39 40 49 51 56 58 67 79 85 95 98 113 122 125 148 151 164 177 184 185 187 189 192 2 
4 14 20 41 63 66 74 86 89 92 103 116 120 136 139 140 141 146 153 159 162 175 181 182 183 
15 19 34 36 50 52 69 107 110 114 123 130 131 138 147 150 166 167 171 173 178 179 180 190 195 
1 5 6 8 10 18 27 37 38 46 47 48 61 65 70 72 73 78 84 94 96 106 109 115 121 129 132 156 168 169 172 
25 32 42 71 77 83 91 102 104 118 124 134 143 144 145 157 160 188 193 

============Find Best @ Round 157================
==========Cluster 0, RcvInterf=5.86034e-15============
Node 133, SINR:7.89337e-01, BpsHz:4.66347e-02
Node 142, SINR:7.89337e-01, BpsHz:4.66347e-02
Node 143, SINR:7.89337e-01, BpsHz:4.66347e-02
Node 144, SINR:7.89337e-01, BpsHz:4.66347e-02
Node 156, SINR:7.89337e-01, BpsHz:4.66347e-02
Node 159, SINR:7.89337e-01, BpsHz:4.66347e-02
Node 187, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 192, SINR:7.89337e-01, BpsHz:4.66347e-02
---------------
195
5
1.000000e-03
1.931016e-312
103
3000
6.920534e+00
1.056824e+00
6.920534e-06
7.476521e-07
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 170 50 82 33 
0.000000E+00 0.000000E+00 2.310805E-04 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.477248E-04 1.448457E-04 8.636498E-05 1.184321E-04 3.111385E-04 0.000000E+00 0.000000E+00 5.089752E-04 5.725553E-05 0.000000E+00 0.000000E+00 2.111597E-05 1.109022E-05 1.488055E-05 0.000000E+00 0.000000E+00 3.687176E-06 1.447447E-06 6.006729E-04 2.217822E-05 0.000000E+00 0.000000E+00 2.316131E-04 0.000000E+00 0.000000E+00 0.000000E+00 1.255995E-04 1.048034E-04 0.000000E+00 5.205535E-05 4.018682E-04 0.000000E+00 4.425747E-06 1.072111E-04 8.809020E-05 1.352227E-04 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 8.598136E-04 3.000163E-04 3.412953E-04 0.000000E+00 0.000000E+00 0.000000E+00 1.554406E-04 2.430720E-05 5.857620E-05 5.795866E-05 3.174985E-05 0.000000E+00 0.000000E+00 2.391431E-04 2.390054E-04 5.302107E-05 0.000000E+00 5.572604E-04 4.175452E-05 1.148075E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 5.749491E-05 5.184860E-05 2.171239E-05 0.000000E+00 1.545777E-04 0.000000E+00 0.000000E+00 3.473760E-05 1.775188E-04 1.614925E-04 3.397047E-05 1.398276E-04 3.158749E-07 6.017767E-07 0.000000E+00 1.514072E-04 0.000000E+00 0.000000E+00 1.586898E-05 4.039469E-04 0.000000E+00 1.622083E-04 2.057089E-05 0.000000E+00 5.448582E-04 0.000000E+00 0.000000E+00 4.866917E-05 8.562573E-06 2.587709E-06 0.000000E+00 0.000000E+00 0.000000E+00 9.994038E-04 0.000000E+00 1.036002E-05 0.000000E+00 0.000000E+00 5.690732E-05 3.498461E-04 0.000000E+00 1.068503E-04 0.000000E+00 1.656085E-04 0.000000E+00 1.344206E-04 3.613987E-05 6.402735E-06 0.000000E+00 0.000000E+00 4.345035E-05 0.000000E+00 3.555127E-06 2.931446E-05 2.782067E-04 1.170250E-05 6.210605E-04 2.344764E-04 0.000000E+00 2.020228E-05 0.000000E+00 4.292020E-04 5.500287E-05 2.837898E-04 0.000000E+00 2.785618E-04 0.000000E+00 0.000000E+00 1.804779E-04 0.000000E+00 7.060814E-05 1.469012E-08 6.197185E-05 1.544002E-04 2.070854E-05 0.000000E+00 5.879792E-05 0.000000E+00 2.528196E-05 0.000000E+00 4.505013E-04 0.000000E+00 5.112605E-04 0.000000E+00 3.969745E-04 3.200131E-05 0.000000E+00 2.732569E-05 0.000000E+00 4.190867E-07 0.000000E+00 0.000000E+00 2.525681E-07 2.534628E-05 0.000000E+00 7.032182E-05 3.966506E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.497627E-05 2.085284E-06 2.290949E-04 0.000000E+00 0.000000E+00 4.718435E-05 0.000000E+00 4.103497E-04 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 5.984988E-05 
1 38 44 46 54 60 61 65 78 91 94 100 111 115 121 126 132 149 158 163 168 169 172 42 109 156 47 
15 24 28 45 62 97 114 117 128 146 170 171 138 139 3 
16 19 34 39 50 52 53 58 59 69 85 87 95 123 130 131 133 135 137 147 150 178 179 180 185 195 
14 20 82 86 88 89 103 105 161 129 80 183 76 41 66 70 30 84 141 
13 23 25 29 31 33 67 71 77 83 98 104 119 122 148 154 165 144 152 160 12 

============Find Best @ Round 533================
==========Cluster 0, RcvInterf=1.05526e-14============
Node 0, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 37, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 43, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 45, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 53, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 59, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 60, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 64, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 77, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 90, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 93, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 99, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 110, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 114, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 120, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 125, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 131, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 148, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 157, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 162, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 167, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 168, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 171, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 41, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 108, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 155, SINR:1.59047e+00, BpsHz:5.28159e-02
Node 46, SINR:1.59047e+00, BpsHz:5.28159e-02
---------------
==========Cluster 1, RcvInterf=2.59898e-14============
Node 14, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 23, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 27, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 44, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 61, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 96, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 113, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 116, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 127, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 145, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 169, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 170, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 137, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 138, SINR:6.69507e-01, BpsHz:5.28159e-02
Node 2, SINR:6.69507e-01, BpsHz:5.28159e-02
---------------
==========Cluster 2, RcvInterf=7.92289e-15============
Node 15, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 18, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 33, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 38, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 49, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 51, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 52, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 57, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 58, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 68, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 84, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 86, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 94, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 122, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 129, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 130, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 132, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 134, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 136, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 146, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 149, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 177, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 178, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 179, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 184, SINR:1.49735e+00, BpsHz:5.28159e-02
Node 194, SINR:1.49735e+00, BpsHz:5.28159e-02
---------------
==========Cluster 3, RcvInterf=2.11059e-14============
Node 13, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 19, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 81, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 85, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 87, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 88, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 102, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 104, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 160, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 128, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 79, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 182, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 75, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 40, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 65, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 69, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 29, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 83, SINR:9.32791e-01, BpsHz:5.28159e-02
Node 140, SINR:9.32791e-01, BpsHz:5.28159e-02
---------------
==========Cluster 4, RcvInterf=1.63940e-14============
Node 12, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 22, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 24, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 28, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 30, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 32, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 66, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 70, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 76, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 82, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 97, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 103, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 118, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 121, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 147, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 153, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 164, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 143, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 151, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 159, SINR:1.07962e+00, BpsHz:5.28159e-02
Node 11, SINR:1.07962e+00, BpsHz:5.28159e-02
---------------
